Watching for file changes with StatReloader
[14/Jun/2026 19:55:19] "GET /media/brands/revitalizant.jpg HTTP/1.1" 200 31932
[14/Jun/2026 19:55:19] "GET /media/brands/1stage.jpg HTTP/1.1" 200 29603
[14/Jun/2026 19:55:19] "GET /media/brands/snipex.png HTTP/1.1" 200 40375
[14/Jun/2026 19:55:19] "GET /media/brands/mottec.png HTTP/1.1" 200 40990
[14/Jun/2026 19:55:19] "GET /media/brands/xado-atomic-oil.png HTTP/1.1" 200 94526
[14/Jun/2026 19:55:19] "GET /media/brands/redpenguin.png HTTP/1.1" 200 91692
[14/Jun/2026 19:55:19] "GET /media/products/oc_307.jpg HTTP/1.1" 200 75282
[14/Jun/2026 19:55:19] "GET /media/products/oc_130.jpg HTTP/1.1" 200 111275
[14/Jun/2026 19:55:19] "GET /media/products/oc_56.jpg HTTP/1.1" 200 156119
[14/Jun/2026 19:55:19] "GET /media/products/oc_133.jpg HTTP/1.1" 200 160727
[14/Jun/2026 19:55:19] "GET /static/img/brands/xado-atomic-oil.png HTTP/1.1" 200 94526
[14/Jun/2026 19:55:19] "GET / HTTP/1.1" 200 51003
[14/Jun/2026 19:55:19] "GET / HTTP/1.1" 200 51003
[14/Jun/2026 19:55:19] "GET /media/brands/red_boost.png HTTP/1.1" 200 10996
[14/Jun/2026 19:55:19] "GET /media/brands/atomex.png HTTP/1.1" 200 10049
[14/Jun/2026 19:55:19] "GET /static/css/style.css HTTP/1.1" 200 10200
[14/Jun/2026 19:55:19] "GET /static/img/xado_balts_2.png HTTP/1.1" 200 34464
[14/Jun/2026 19:55:19] "GET /media/brands/very_lube.png HTTP/1.1" 200 60584
[14/Jun/2026 19:55:19] "GET /media/brands/ex120.jpg HTTP/1.1" 200 25168
[14/Jun/2026 19:55:19] "GET /static/css/style.css HTTP/1.1" 200 10200
[14/Jun/2026 19:55:19] "GET /media/brands/red_boost.png HTTP/1.1" 200 10996
[14/Jun/2026 19:55:19] "GET /media/brands/atomex.png HTTP/1.1" 200 10049
[14/Jun/2026 19:55:19] "GET /media/brands/ex120.jpg HTTP/1.1" 200 25168
[14/Jun/2026 19:55:19] "GET /static/img/xado_balts_2.png HTTP/1.1" 200 34464
[14/Jun/2026 19:55:19] "GET /media/brands/very_lube.png HTTP/1.1" 200 60584
[14/Jun/2026 19:55:19] "GET /static/js/main.js HTTP/1.1" 200 463
[14/Jun/2026 19:55:19] "GET /media/brands/mottec.png HTTP/1.1" 200 40990
[14/Jun/2026 19:55:19] "GET /media/brands/revitalizant.jpg HTTP/1.1" 200 31932
[14/Jun/2026 19:55:19] "GET /media/brands/1stage.jpg HTTP/1.1" 200 29603
[14/Jun/2026 19:55:19] "GET /media/brands/snipex.png HTTP/1.1" 200 40375
[14/Jun/2026 19:55:19] "GET /media/brands/xado-atomic-oil.png HTTP/1.1" 200 94526
[14/Jun/2026 19:55:19] "GET /media/brands/redpenguin.png HTTP/1.1" 200 91692
[14/Jun/2026 19:55:19] "GET /media/products/oc_307.jpg HTTP/1.1" 200 75282
[14/Jun/2026 19:55:19] "GET /media/products/oc_56.jpg HTTP/1.1" 200 156119
[14/Jun/2026 19:55:19] "GET /media/products/oc_133.jpg HTTP/1.1" 200 160727
[14/Jun/2026 19:55:19] "GET /static/img/brands/xado-atomic-oil.png HTTP/1.1" 200 94526
[14/Jun/2026 19:55:19] "GET /media/products/oc_130.jpg HTTP/1.1" 200 111275
[14/Jun/2026 19:55:19] "GET / HTTP/1.1" 200 51003
[14/Jun/2026 19:55:19] "GET / HTTP/1.1" 200 51003
[14/Jun/2026 19:55:19] "GET /media/brands/atomex.png HTTP/1.1" 200 10049
[14/Jun/2026 19:55:19] "GET /media/brands/red_boost.png HTTP/1.1" 200 10996
[14/Jun/2026 19:55:19] "GET /static/css/style.css HTTP/1.1" 200 10200
[14/Jun/2026 19:55:19] "GET /static/img/xado_balts_2.png HTTP/1.1" 200 34464
[14/Jun/2026 19:55:19] "GET /media/brands/very_lube.png HTTP/1.1" 200 60584
[14/Jun/2026 19:55:19] "GET /media/brands/ex120.jpg HTTP/1.1" 200 25168
[14/Jun/2026 19:55:19] "GET /static/css/style.css HTTP/1.1" 200 10200
[14/Jun/2026 19:55:19] "GET /media/brands/atomex.png HTTP/1.1" 200 10049
[14/Jun/2026 19:55:19] "GET /media/brands/red_boost.png HTTP/1.1" 200 10996
[14/Jun/2026 19:55:19] "GET /static/js/main.js HTTP/1.1" 200 463
[14/Jun/2026 19:55:19] "GET /media/brands/ex120.jpg HTTP/1.1" 200 25168
[14/Jun/2026 19:55:19] "GET /static/img/xado_balts_2.png HTTP/1.1" 200 34464
[14/Jun/2026 19:55:19] "GET /media/brands/very_lube.png HTTP/1.1" 200 60584
[14/Jun/2026 19:55:19] "GET /media/brands/revitalizant.jpg HTTP/1.1" 200 31932
[14/Jun/2026 19:55:19] "GET /media/brands/snipex.png HTTP/1.1" 200 40375
[14/Jun/2026 19:55:19] "GET /media/brands/1stage.jpg HTTP/1.1" 200 29603
[14/Jun/2026 19:55:19] "GET /media/brands/mottec.png HTTP/1.1" 200 40990
[14/Jun/2026 19:55:19] "GET /media/brands/xado-atomic-oil.png HTTP/1.1" 200 94526
[14/Jun/2026 19:55:19] "GET /media/brands/redpenguin.png HTTP/1.1" 200 91692
[14/Jun/2026 19:55:19] "GET /media/products/oc_307.jpg HTTP/1.1" 200 75282
[14/Jun/2026 19:55:20] "GET /media/products/oc_133.jpg HTTP/1.1" 200 160727
[14/Jun/2026 19:55:20] "GET /static/img/brands/xado-atomic-oil.png HTTP/1.1" 200 94526
[14/Jun/2026 19:55:20] "GET /media/products/oc_130.jpg HTTP/1.1" 200 111275
[14/Jun/2026 19:55:20] "GET /media/products/oc_56.jpg HTTP/1.1" 200 156119
Not Found: /favicon.ico
[14/Jun/2026 19:55:20] "GET /favicon.ico HTTP/1.1" 404 5042
[14/Jun/2026 19:59:23] "GET / HTTP/1.1" 200 51291
[14/Jun/2026 19:59:23] "GET /static/css/style.css HTTP/1.1" 200 10200
[14/Jun/2026 19:59:23] "GET /media/brands/red_boost.png HTTP/1.1" 200 10996
[14/Jun/2026 19:59:23] "GET /media/brands/atomex.png HTTP/1.1" 200 10049
[14/Jun/2026 19:59:23] "GET /media/brands/ex120.jpg HTTP/1.1" 200 25168
[14/Jun/2026 19:59:23] "GET /static/img/xado_balts_2.png HTTP/1.1" 200 34464
[14/Jun/2026 19:59:23] "GET /media/brands/very_lube.png HTTP/1.1" 200 60584
[14/Jun/2026 19:59:23] "GET /static/js/main.js HTTP/1.1" 200 463
[14/Jun/2026 19:59:23] "GET /media/brands/revitalizant.jpg HTTP/1.1" 200 31932
[14/Jun/2026 19:59:23] "GET /media/brands/1stage.jpg HTTP/1.1" 200 29603
[14/Jun/2026 19:59:23] "GET /media/brands/mottec.png HTTP/1.1" 200 40990
[14/Jun/2026 19:59:23] "GET /media/brands/snipex.png HTTP/1.1" 200 40375
[14/Jun/2026 19:59:23] "GET /media/brands/xado-atomic-oil.png HTTP/1.1" 200 94526
[14/Jun/2026 19:59:23] "GET /media/brands/redpenguin.png HTTP/1.1" 200 91692
[14/Jun/2026 19:59:23] "GET /media/products/oc_307.jpg HTTP/1.1" 200 75282
[14/Jun/2026 19:59:23] "GET /media/products/oc_130.jpg HTTP/1.1" 200 111275
[14/Jun/2026 19:59:23] "GET /static/img/brands/xado-atomic-oil.png HTTP/1.1" 200 94526
[14/Jun/2026 19:59:23] "GET /media/products/oc_56.jpg HTTP/1.1" 200 156119
[14/Jun/2026 19:59:23] "GET /media/products/oc_133.jpg HTTP/1.1" 200 160727
Not Found: /favicon.ico
[14/Jun/2026 19:59:24] "GET /favicon.ico HTTP/1.1" 404 5042
C:\Users\USER\xadobaltic\xadobaltic\settings.py changed, reloading.
Performing system checks...

System check identified no issues (0 silenced).
June 14, 2026 - 19:54:55
Django version 5.2, using settings 'xadobaltic.settings'
Starting development server at http://127.0.0.1:8002/
Quit the server with CTRL-BREAK.

WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
Watching for file changes with StatReloader
Exception in thread django-main-thread:
Traceback (most recent call last):
  File "C:\Users\USER\AppData\Local\Programs\Python\Python312\Lib\threading.py", line 1075, in _bootstrap_inner
    self.run()
  File "C:\Users\USER\AppData\Local\Programs\Python\Python312\Lib\threading.py", line 1012, in run
    self._target(*self._args, **self._kwargs)
  File "C:\Users\USER\xadobaltic\venv\Lib\site-packages\django\utils\autoreload.py", line 64, in wrapper
    fn(*args, **kwargs)
  File "C:\Users\USER\xadobaltic\venv\Lib\site-packages\django\core\management\commands\runserver.py", line 124, in inner_run
    autoreload.raise_last_exception()
  File "C:\Users\USER\xadobaltic\venv\Lib\site-packages\django\utils\autoreload.py", line 86, in raise_last_exception
    raise _exception[1]
  File "C:\Users\USER\xadobaltic\venv\Lib\site-packages\django\core\management\__init__.py", line 394, in execute
    autoreload.check_errors(django.setup)()
  File "C:\Users\USER\xadobaltic\venv\Lib\site-packages\django\utils\autoreload.py", line 64, in wrapper
    fn(*args, **kwargs)
  File "C:\Users\USER\xadobaltic\venv\Lib\site-packages\django\__init__.py", line 24, in setup
    apps.populate(settings.INSTALLED_APPS)
  File "C:\Users\USER\xadobaltic\venv\Lib\site-packages\django\apps\registry.py", line 124, in populate
    app_config.ready()
  File "C:\Users\USER\xadobaltic\venv\Lib\site-packages\allauth\account\apps.py", line 19, in ready
    raise ImproperlyConfigured(
django.core.exceptions.ImproperlyConfigured: allauth.account.middleware.AccountMiddleware must be added to settings.MIDDLEWARE
C:\Users\USER\xadobaltic\xadobaltic\settings.py changed, reloading.
Watching for file changes with StatReloader
C:\Users\USER\xadobaltic\xadobaltic\urls.py changed, reloading.
Performing system checks...

System check identified no issues (0 silenced).

You have 17 unapplied migration(s). Your project may not work properly until you apply the migrations for app(s): account, sites, socialaccount.
Run 'python manage.py migrate' to apply them.
June 14, 2026 - 21:07:08
Django version 5.2, using settings 'xadobaltic.settings'
Starting development server at http://127.0.0.1:8002/
Quit the server with CTRL-BREAK.

WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
Watching for file changes with StatReloader
C:\Users\USER\xadobaltic\selector\views.py changed, reloading.
Performing system checks...

System check identified no issues (0 silenced).

You have 17 unapplied migration(s). Your project may not work properly until you apply the migrations for app(s): account, sites, socialaccount.
Run 'python manage.py migrate' to apply them.
June 14, 2026 - 21:07:27
Django version 5.2, using settings 'xadobaltic.settings'
Starting development server at http://127.0.0.1:8002/
Quit the server with CTRL-BREAK.

WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
Watching for file changes with StatReloader
[15/Jun/2026 18:33:35] "GET / HTTP/1.1" 200 51291
[15/Jun/2026 18:33:35] "GET /static/img/xado_balts_2.png HTTP/1.1" 200 34464
[15/Jun/2026 18:33:35] "GET /static/js/main.js HTTP/1.1" 200 463
[15/Jun/2026 18:33:35] "GET /media/brands/red_boost.png HTTP/1.1" 200 10996
[15/Jun/2026 18:33:35] "GET /media/brands/revitalizant.jpg HTTP/1.1" 200 31932
